link,id_company,company_name,company_address,company_size,company_website,company_type,company_details
https://careerviet.vn/vi/nha-tuyen-dung/cong-ty-tnhh-zylux-vietnam.35A99C22.html,35A99C22,CÔNG TY TNHH ZYLUX VIETNAM,CÔNG TY TNHH ZYLUX VIETNAM,Qui mô công ty: 100-499,Website: https://www.zyluxacoustic.com/,Loại hình hoạt động: 100% vốn nước ngoài,"Công ty TNHH ZYLUX VIETNAM có 100% vốn Đài Loan chuyên sản xuất các thiết bị âm thanh loa, audio cho các nhãn hàng hàng đầu thế giới JBL, Panasonic, Yamaha, ...Zylux cung cấp các sản phẩm đầu cuối bao gồm thiết kế và phát triển, tích hợp hiệu quả công nghệ tiên tiến mới nhất, quy trình sản xuất và kiểm soát chất lượng vượt trội."
https://careerviet.vn/vi/nha-tuyen-dung/cong-ty-tnhh-transcosmos-viet-nam.35A74594.html,35A74594,,,,,,
https://careerviet.vn/vi/nha-tuyen-dung/cong-ty-co-phan-thuong-mai-bia-sai-gon-trung-tam.35A891E7.html,35A891E7,Công Ty Cổ Phần Thương Mại Bia Sài Gòn Trung Tâm,"12 Đông Du, P. Bến Nghé, Q. 1, TP.HCM,",Qui mô công ty: 100-499,Website: https://www.sabeco.com.vn/trang-chu,Loại hình hoạt động: Cổ phần,"- Công Ty CP TM Bia Sài Gòn Trung Tâm là một thành viên thuộc hệ thống của Tổng Công ty CP Bia – Rượu – Nước Giải Khát Sài Gòn & trực thuộc Công Ty TNHH MTV TM Bia Sài Gòn, được thành lập vào ngày 10/06/2008 với nhiệm vụ quan trọng là thúc đẩy sự phát triển mạnh mẽ về thị trường & quy mô thương hiệu bia Sài Gòn tại Thành phố Hồ Chí Minh – trung tâm kinh tế, văn hóa, giáo dục quan trọng bậc nhất của Việt Nam. Sản phẩm kinh doanh chính, chủ lực của Công ty là bán buôn các sản phẩm bia Sài Gòn, một thương hiệu Việt nổi tiếng, bền vững & dẫn đầu của Việt Nam........."
https://careerviet.vn/vi/nha-tuyen-dung/cong-ty-co-phan-tap-doan-hoang-minh.35A8E8BA.html,35A8E8BA,Công ty Cổ phần Tập đoàn Hoàng Minh,"Tầng 17 tòa nhà Geleximco, số 36 Hoàng Cầu, Ô Chợ Dừa, Đống Đa, Hà Nội",Qui mô công ty: 100-499,Website: https://tapdoanhoangminh.talentnetwork.vn/,Loại hình hoạt động: Cổ phần,"Công ty Cổ phần Tập đoàn Hoàng Minh (HMG) được thành lập với định hướng trở thành Công ty tập đoàn đa ngành nghề, là ngân hàng đầu tư cung cấp tổng hợp các dịch vụ và giải pháp cho khách hàng là các tổ chức, doanh nghiệp và cá nhân nhằm gia tăng giá trị cho khách hàng. Hiện tại Tập đoàn có 12 ĐVTV trong đó có 4 ĐVTV đã lên sàn, hoạt động chính là M&A, có các nghành nghề BĐS, Chứng khoán, Qũy, thương mại, sản xuất, xuất nhập khẩu, lương thực...
Tầm nhìn
Trở thành HỆ SINH THÁI NGÂN HÀNG ĐẦU TƯ
Sứ mệnh
của HMG là xây dựng niềm tin
Tư vấn và cung cấp các giải pháp tài chính bền vững.
M&A và tái cấu trúc doanh nghiệp.
Tạo ra và gia tăng giá trị cho khách hàng.
​
Giá trị cốt lõi
Tài chính vững mạnh
Nhân sự chuyên nghiệp
Đối tác uy tín
Giải pháp đa dạng, linh hoạt"
https://careerviet.vn/vi/nha-tuyen-dung/equest-education-group-eqg.35A74E20.html,35A74E20,EQuest Education Group (EQG),"Canadian International School, Number 7, Road 23, Phu My Hung, Tan Phu Ward, District 7, HCMC",,Website: http://www.equest.vn,Loại hình hoạt động: Cổ phần,"EQuest Education Group is founded on 03 core principles, Innovation, Excellence, and Dedication, by a group of educators with background from the best education systems in the world such as the U.S., the U.K., Germary, and Australia.
EQuest is currently one of the largest private education institutions in Vietnam with more than 120,000 students enrolled annually in our member schools, including K-12 schools, universities and vocational institutions, foreign language schools, as well as various Edtech platforms.
Since June 2022, EQuest and its member institutions, K12 and ESL&EdTech, are accredited by NCA CASI, NWAC, SACA CASI, accreditation divisions of Cognia (USA).
We commit to strengthening Vietnamese students’ competitiveness level and investing in the development of Vietnamese human capital. This is achieved by means of academic programs of international standards that guarantee a comprehensive educational foundation for students.
EQuest considers our people the most valuable asset and deciding factor in our organizational growth. We always welcome passionate candidates who wish to work in a professional and dynamic environment.
Talent Management is one of EQuest’s key strategies. We believe that an organization or a nation prospers only with effective talent utilization. It is impossible to compete internationally when our most talented individuals are idle as they wait for appointments or apply for jobs. Thus, we proactively seek and recruit talents and create favorable conditions to realize their full potentials.
With “The Quest for Excellence” as the motto, all EQuesters are encouraged and supported to participate in professional development training. We focus our talent development efforts, especially on implementing online and offsite training and seminars on a regular basis. In addition, our internal platform is utilized as a forum to share news updates, experiences, tips, or inspiring messages. All contents go through a rigorous curation and selection process to ensure both professional growth and wellbeing for each and every EQuester. With our aforementioned internal training practices, we hope to contribute to Vietnam’s elevation of human capital quality.
Currently, EQG has two (04) divisions:
​
English Center Division:
​
IVYPREP Education
VATC Education
ITD Academy
iSMART Education
K-12 Division:
Alpha School
Newton School
CGV Victory
EDTECH Division:
Global DreamLab
Tinh Hoa DreamLab
College Division:
​
Phu Xuan University (PXU)
American Polytechnic College (APC)
Broward College (BC)
Vietnam Design Institute (ADS)
Saigon Polytechnic College (SPC)"
https://careerviet.vn/vi/nha-tuyen-dung/cong-ty-tnhh-ele-future.35A995BC.html,35A995BC,CÔNG TY TNHH ELE FUTURE,"Phòng 805, Tầng 08, Cao Ốc Daiminh Convention, 77 Hoàng Văn Thái, Phường Tân Phú, Quận 7, Thành phố Hồ Chí Minh, Việt Nam",Qui mô công ty: 10-20,,Loại hình hoạt động: Trách nhiệm hữu hạn,"Phòng 805, Tầng 08, Cao Ốc Daiminh Convention, 77 Hoàng Văn Thái, Phường Tân Phú, Quận 7, Thành phố Hồ Chí Minh, Việt Nam"
https://careerviet.vn/vi/nha-tuyen-dung/wall-street-english.35A6A138.html,35A6A138,Wall Street English,"21 Lê Qúy Đôn, Q. 3",Qui mô công ty: 100-499,Website: https://wallstreetenglish.edu.vn/danh-sach-tuyen-dung/,Loại hình hoạt động: Trách nhiệm hữu hạn,"Wall Street English Vietnam
21 Le Quy Don Street, Ward 6, District 3, Ho Chi Minh City
* Company Introduction:
Wall Street English is an English Language School business with strong growth targets for new centres in existing territories, acquiring master franchises and in starting up in new countries. Here at Wall Street English we, a world class company and a member of the Pearson global family believe in the power of personal learning as a source of good, as a source of growth and as a source of empowerment. We do offering unique learning method that helps people all over the world succeed in acquiring English language, opening a whole world of opportunities both personally and professionally.
First established in Italy in 1972 under the name of Wall Street Institute, we have been rebranded into Wall Street English in 2013 as we know nowadays. What started from an idea of developing a new way to teach people English has grown into a place with over 400 learning centers in 27 countries with an enrollment of 3,000,000 students.
We have corporate offices in Baltimore, Hong Kong and Barcelona. We operate primarily through franchising but also own and operate our own centres in Germany, Italy, Brazil, Indonesia and in China. We are the marketing leaders in English Language Teaching and are experience rapid growth.
Currently we have 06 centers in Ho Chi Minh City and will continue to expand to end of year. Our centers are designed, built and equipped to the premium standards, thus providing teachers, employees and students with an excellent study and work environment. We place a strong emphasis on academic quality and this is reflected in our approach to teacher recruitment, development, support and management.
* Why work with us?
- We offer a unique learning method that helps people succeed in learning the English language, which opens a whole world of both personal and professional opportunities.
- Wall Street English is a fun, dynamic, experienced, hard-working and friendly working environment that exceed Client expectations every day. Our commitment to quality services and support continues to propel our growth and success.
- We are a premier provider of motivated and highly trained consultants and professional personnel who have the unique skills and expertise necessary to help our Clients meet their individual and business goals in a cost effective manner.
- As a company, we’ve developed and enforce a Code of Ethics. This code is designed to clarify and solidify the expectations and standards the company sets for its employees. It is our goal to hire only the best qualified people for employment opportunities available whether locally, nationally or globally.
* We provide:
• Paid professional training and development
• Opportunities for promotion and career development
• A professional international working environment
• Committed colleagues.
* Benefit:
• Competitive salary
• Medical insurance
• Generous bonus scheme
• Paid annual leave
• Paid training
• Opportunities for advancement
• Free unlimited access to the Wall Street English Courses
• Professional, fun and exciting work environment
• Ample opportunities to speak and practice English
We are always looking for talented people who have passions for helping people through English education"
https://careerviet.vn/vi/nha-tuyen-dung/cong-ty-tnhh-t-m-g.35A55681.html,35A55681,Công Ty TNHH T.M.G ,"649/83-85 Điện Biên Phủ, phường 25, quận Bình Thạnh, TPHCM",Qui mô công ty: 300-499,Website: https://freelancerstores.vn/,Loại hình hoạt động: Trách nhiệm hữu hạn,"TMG Co., Ltd. was established in 2003. With over 16 years of experience in fashion with professional and friendly staff team, TMG owns two brands : John Henry and Freelancer with the same system. 118 stores are located in more than 30 nationwhile provinces and cities and still keep expanding.
John Henry for men that is positioned as a comprehensive fashion brand for mature gentlemen.
Freelancer is the fashion line for young people who love freedom.
If you want to learn more and satisfy the fashion indulgence, join with us to contribute and build the strongest team day by day.
Beside that, you could find more opportunities and conquer challenges for the career path in the future."
https://careerviet.vn/vi/nha-tuyen-dung/ngan-hang-tmcp-viet-nam-thinh-vuong-vpbank.35A6CA10.html,35A6CA10,Ngân Hàng TMCP Việt Nam Thịnh Vượng - VPBANK,"89 Láng Hạ, Quận Đống Đa, Hà Nội",Qui mô công ty: 10.000-19.999,Website: https://tuyendung.vpbank.com.vn/,Loại hình hoạt động: Cổ phần,"Chào mừng Bạn đến với Miền Đất Nhân Tài!
Trong chiến lược phát triển 5 năm lần thứ 3 (2022-2026), VPBank xác định mục tiêu trở thành ngân hàng có vị trí vững chắc trong Top 3 Ngân hàng lớn nhất Việt Nam và đạt quy mô thuộc Top 100 ngân hàng lớn nhất châu Á, góp phần thúc đẩy sự phát triển bền vững và thịnh vượng của quốc gia và cộng đồng. Một yếu tố quan trọng để hiện thực hóa mục tiêu này chính là Con người và VPBank đã luôn tập trung vào chiến lược
“Home of Talents”
– xây dựng VPBank thực sự là miền đất thu hút và gắn kết các nhân tài hàng đầu trên thị trường.
Trên hành trình hiện thực hóa sứ mệnh vì một Việt Nam thịnh vượng, VPBank tập trung nỗ lực xây dựng một hình mẫu VPBanker lý tưởng với 04 phương diện phát triển toàn diện gồm:
Thịnh vượng Thân trí, Thịnh vượng Tinh thần, Thịnh vượng Tài chính và Thịnh vượng Cộng đồng.
Đây là sự cam kết từ VPBank trong chiến lược Home of Talents - đặt Con người làm trung tâm và không ngừng nỗ lực tạo những điều kiện thuận lợi để từng nhân viên có thể phát triển tốt nhất cùng ngân hàng. Đây cũng là một phần của chiến lược bền vững đưa VPBank trở thành doanh nghiệp kiểu mẫu đáng tin cậy, xây dựng một môi trường làm việc hiệu quả, nhân văn, thu hút nhân tài và phát triển mỗi VPBanker trở thành phiên bản tốt nhất của chính mình.
1.
Thịnh vượng Thân trí:
Hai yếu tố “trí tuệ” và “thể chất” luôn song hành và bổ trợ cho nhau trong chân dung Con người Thịnh vượng. VPBank luôn chú trọng đến việc:
•      Xây dựng một môi trường làm việc lành mạnh
•      Chăm sóc sức khỏe, khích lệ tinh thần luyện tập thể thao của CBNV
•      Đề cao văn hóa học tập, phát triển kỹ năng, cổ vũ và hỗ trợ cho sự học trọn đời của từng nhân viên.
2. Thịnh vượng Tinh thần:
VPBank ý thức được tầm quan trọng của đời sống tinh thần, sức mạnh của những suy nghĩ tích cực và lợi ích của sự cân bằng về cảm xúc đối với từng nhân viên. VPBank tập trung nỗ lực để:
•      Kiến tạo môi trường làm việc công bằng, cởi mở, nhân văn.
•      Đồng hành và chia sẻ với CBNV thông qua chính sách, chương trình chăm sóc CBNV và người thân.
3. Thịnh vượng Tài chính:
VPBank ý thức rằng một nền tảng tài chính vững chắc sẽ mang lại chất lượng cuộc sống tốt hơn cho các VPBanker. VPBank luôn đảm bảo:
•      Xây dựng chính sách về lương, thưởng phúc lợi, lộ trình thăng tiến rõ ràng, hấp dẫn.
•      Ghi nhận xứng đáng mọi nỗ lực và cống hiến của CBNV.
4. Thịnh vượng Cộng đồng
: Mỗi VPBanker là một phần của xã hội, những đóng góp, nỗ lực của chính bản thân các VPBanker sẽ góp phần thay đổi và tạo nên một xã hội tốt đẹp hơn. Từ phía tổ chức, VPBank luôn xem trọng và hành động để thực hiện:
•      Trách nhiệm của doanh nghiệp với cộng đồng và xã hội.
•      Thường xuyên thực hiện những chương trình, sáng kiến nhằm góp phần giúp cho xã hội, đất nước ngày một giàu đẹp, văn minh hơn."
https://careerviet.vn/vi/nha-tuyen-dung/cong-ty-co-phan-xay-dung-cong-trinh-thanh-minh.35A967EE.html,35A967EE,CÔNG TY CỔ PHẦN XÂY DỰNG CÔNG TRÌNH THÀNH MINH,"Số 23 đường Manor 2 STR, Sunrise E, Khu The Manor Center Park, Xã Thanh Liệt, Huyện Thanh Trì, Thành phố Hà Nội, Việt Nam",,,Loại hình hoạt động: Cổ phần,"Số 23 đường Manor 2 STR, Sunrise E, Khu The Manor Center Park, Xã Thanh Liệt, Huyện Thanh Trì, Thành phố Hà Nội, Việt Nam"
